epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,117.693,0.93314,0.52836,0.99325,0.84239,0.74824,0.8263,0.5144,1.34085,0.8509,1.28451,0.0007724,0.0007724,0.0007724
64,119.503,0.93083,0.53221,0.96572,0.81203,0.76471,0.82007,0.50535,1.35234,0.87796,1.29564,0.0007526,0.0007526,0.0007526
65,121.335,0.89367,0.51437,0.96394,0.82231,0.77857,0.85674,0.52902,1.29832,0.83258,1.2512,0.0007328,0.0007328,0.0007328
66,123.101,0.90668,0.50746,0.96966,0.84217,0.76589,0.85525,0.52746,1.30645,0.82259,1.24911,0.000713,0.000713,0.000713
67,124.923,0.89486,0.49873,0.96629,0.82759,0.77529,0.84824,0.51766,1.3233,0.81735,1.25518,0.0006932,0.0006932,0.0006932
68,126.758,0.90169,0.50388,0.96044,0.83964,0.78941,0.84757,0.51689,1.32063,0.79952,1.268,0.0006734,0.0006734,0.0006734
69,128.597,0.88655,0.49575,0.96115,0.84353,0.79059,0.85082,0.51505,1.32827,0.79674,1.27547,0.0006536,0.0006536,0.0006536
70,130.432,0.86958,0.49526,0.9649,0.85929,0.78309,0.85609,0.51636,1.33293,0.7919,1.27773,0.0006338,0.0006338,0.0006338
71,132.276,0.85446,0.47922,0.95491,0.84188,0.77673,0.85656,0.52541,1.31705,0.78814,1.26695,0.000614,0.000614,0.000614
72,134.104,0.8641,0.48217,0.96255,0.83457,0.78345,0.85534,0.52477,1.32611,0.78208,1.27136,0.0005942,0.0005942,0.0005942
73,135.942,0.8641,0.48541,0.96275,0.82991,0.7807,0.84921,0.51882,1.32494,0.81441,1.25556,0.0005744,0.0005744,0.0005744
74,137.758,0.83093,0.47106,0.95229,0.84307,0.76478,0.85188,0.52633,1.32132,0.80636,1.25532,0.0005546,0.0005546,0.0005546
75,139.553,0.82006,0.47626,0.94857,0.83782,0.78404,0.85264,0.52994,1.31635,0.80409,1.25459,0.0005348,0.0005348,0.0005348
76,141.41,0.87191,0.48666,0.94171,0.85119,0.76941,0.85614,0.53411,1.3095,0.79901,1.24635,0.000515,0.000515,0.000515
77,143.239,0.84292,0.48301,0.93951,0.85232,0.76725,0.85693,0.53393,1.30496,0.78817,1.24393,0.0004952,0.0004952,0.0004952
78,145.024,0.84495,0.47128,0.92708,0.86613,0.77412,0.85974,0.53164,1.30002,0.78516,1.24492,0.0004754,0.0004754,0.0004754
79,146.885,0.84469,0.47256,0.9488,0.85618,0.77765,0.86013,0.53247,1.31495,0.8059,1.25763,0.0004556,0.0004556,0.0004556
80,148.711,0.83164,0.45922,0.94884,0.85667,0.77529,0.85216,0.52694,1.33243,0.82071,1.27198,0.0004358,0.0004358,0.0004358
81,150.528,0.82797,0.46892,0.93679,0.84306,0.78364,0.85299,0.53284,1.31888,0.80363,1.26818,0.000416,0.000416,0.000416
82,152.323,0.82611,0.46547,0.93864,0.84088,0.78118,0.85245,0.53538,1.31676,0.78371,1.26848,0.0003962,0.0003962,0.0003962
83,154.158,0.79968,0.45389,0.92505,0.83667,0.79552,0.86106,0.53691,1.31647,0.76866,1.26749,0.0003764,0.0003764,0.0003764
84,156.012,0.8003,0.45008,0.91372,0.82367,0.80234,0.866,0.53699,1.31996,0.75871,1.26133,0.0003566,0.0003566,0.0003566
85,158.06,0.80572,0.45402,0.92128,0.87151,0.76235,0.86937,0.5345,1.3222,0.76235,1.25921,0.0003368,0.0003368,0.0003368
86,159.889,0.82005,0.45125,0.92822,0.86892,0.75647,0.86461,0.5342,1.31956,0.77045,1.26054,0.000317,0.000317,0.000317
